Game,SCORE,StartingPos,Revolutions,TimesCEO,TimesHomeless,PlayerType
1,38,R,8,3,4,U
1,60,M,8,9,0,AI
1,37,C,8,4,5,AI
1,31,P,8,4,7,AI
1,34,H,8,0,4,AI
2,56,P,3,8,2,U
2,33,R,3,3,5,AI
2,26,M,3,1,5,AI
2,38,H,3,6,7,AI
2,47,C,3,2,1,AI
3,50,C,2,9,4,U
3,37,R,2,2,5,AI
3,42,P,2,3,3,AI
3,44,H,2,4,3,AI
3,27,M,2,2,5,AI
4,46,M,8,8,4,U
4,50,C,8,7,2,AI
4,51,R,8,3,2,AI
4,31,P,8,0,5,AI
4,22,H,8,2,7,AI
5,41,H,4,4,4,U
5,48,R,4,5,3,AI
5,24,M,4,0,6,AI
5,42,P,4,7,5,AI
5,45,C,4,4,2,AI
6,56,P,3,10,2,U
6,45,H,3,6,4,AI
6,38,C,3,1,4,AI
6,30,R,3,2,2,AI
6,31,M,3,1,8,AI
7,49,C,3,6,2,U
7,41,R,3,4,4,AI
7,28,P,3,2,7,AI
7,38,M,3,4,4,AI
7,44,H,3,4,3,AI
