Year,Pop.Male,Pop.Female,Pop.Total
1926,730500,699200,1429700
1927,740500,709900,1450400
1928,748600,718700,1467400
1929,757800,728300,1486100
1930,767900,738900,1506800
1931,775600,747100,1522800
1932,780900,753800,1534700
1933,786400,760800,1547100
1934,792000,766400,1558400
1935,796700,773000,1569700
1936,804300,780300,1584600
1937,813100,788700,1601800
1938,821700,796600,1618300
1939,832800,808800,1641600
1940,813000,820600,1633600
1941,799200,832000,1631200
1942,793700,842700,1636400
1943,790800,851200,1642000
1944,813600,862700,1676300
1945,855500,872300,1727800
1946,891300,889900,1781200
1947,910100,907400,1817500
1948,929300,924600,1853900
1949,949500,942600,1892100
1950,967300,960400,1927700
1951,989500,981000,1970500
1952,1017900,1006700,2024600
1953,1043100,1031600,2074700
1954,1065400,1053000,2118400
1955,1089100,1075700,2164800
1956,1111200,1098000,2209200
1957,1137800,1125000,2262800
1958,1165600,1150400,2316000
1959,1186000,1173700,2359700
1960,1207900,1195700,2403600
1961,1238000,1223300,2461300
1962,1264100,1251700,2515800
1963,1288400,1278500,2566900
1964,1313000,1304000,2617000
1965,1336700,1327100,2663800
1966,1360300,1351000,2711300
1967,1373600,1371400,2745000
1968,1385400,1387600,2773000
1969,1399800,1404200,2804000
1970,1425400,1426700,2852100
1971,1447400,1451100,2898500
1972,1477800,1481900,2959700
1973,1510000,1514900,3024900
1974,1543900,1548000,3091900
1975,1567600,1576100,3143700
1976,1578100,1585300,3163400
1977,1578400,1588000,3166400
1978,1575900,1589300,3165200
1979,1573800,1590100,3163900
1980,1581500,1594900,3176400
1981,1586900,1607600,3194500
1982,1601900,1624900,3226800
1983,1620700,1644100,3264800
1984,1632200,1660800,3293000
1985,1636800,1666300,3303100
1986,1639200,1674300,3313500
1987,1652900,1689200,3342100
1988,1649700,1695500,3345200
1989,1659700,1710100,3369800
1990,1681900,1728500,3410400
1991,1730000,1786000,3516000
1992,1749100,1803100,3552200
1993,1772500,1825400,3597800
1994,1797800,1850400,3648300
1995,1828000,1878700,3706700
1996,1855400,1906900,3762300
1997,1872900,1929700,3802700
1998,1883300,1945900,3829200
1999,1891700,1959500,3851100
2000,1900400,1972600,3873100
2001,1920500,1995700,3916200
2002,1956700,2032900,3989500
2003,1991800,2069800,4061600
2004,2016200,2098100,4114300
2005,2037700,2123300,4161000
2006,2059600,2149500,4209100
2007,2076800,2169000,4245700
2008,2093300,2187000,4280300
2009,2119200,2213000,4332100
2010,2139200,2234700,4373900
